,tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_userid
66949,1227366121105326080,3242333133,matrosred,tue feb 11 22:57:41 +0000 2020,en,"colorado, usa","rt @andreaadlerphd: dear #antivaxx, don't waste this perfect opportunity. now is the time to go to #wuhan #china and prove #science wrong.…",retweeted_tweet_without_comment,1304,9790,false,"[antivaxx, wuhan, china, science]",[],fri may 08 20:16:54 +0000 2015,[1139523989993328640],['andreaadlerphd'],1.1395239899933286e+18
68195,1227366430326214656,1215816645915992065,bidneznunnayo,tue feb 11 22:58:55 +0000 2020,und,,"rt @bidneznunnayo: #vaccines
#vaxxed
#vaccinesafety
#vaccineinjury
#vaccination
#antivaxxers
#measlesoutbreak
#bigpharma
#conspiracy
#propa…",retweeted_tweet_without_comment,4776,479,false,"[vaccines, vaxxed, vaccinesafety, vaccineinjury, vaccination, antivaxxers, measlesoutbreak, bigpharma, conspiracy]",[],sat jan 11 02:04:48 +0000 2020,[1215816645915992065],['bidneznunnayo'],1.215816645915992e+18
14063,1227354507983622144,424664120,lotusoak2,tue feb 11 22:11:32 +0000 2020,en,"nova, usa","#didyouknow that #measles mortality in the us was 2-in-a-million before the #vaccination started?

check 1960 vital statistics of the us
vol ii, part a
table 1-m , page 1-27
https://t.co/ugxjcnlts7

total measles death rate: 0.2 per 100,000

#learntherisk #wakeupamerica https://t.co/ms7plci0q2",original,20716,11130,false,"[didyouknow, measles, vaccination, learntherisk, wakeupamerica]","[{'url': 'https://t.co/ugxjcnlts7', 'expanded_url': 'https://cdc.gov/nchs/data/vsus/vsus_1960_2a.pdf', 'display_url': 'cdc.gov/nchs/data/vsus…', 'indices': [174, 197]}]",wed nov 30 01:40:51 +0000 2011,[],[],
4564,1227398009236926465,1181625169133133825,toshiat23,wed feb 12 01:04:24 +0000 2020,en,usa ,so many in #antivax #sanctuarystate california,quoted_tweet,13,221,false,"[antivax, sanctuarystate]",[],tue oct 08 17:39:41 +0000 2019,[],[],
27796,1227403682741813248,2182471615,sheralyn80,wed feb 12 01:26:56 +0000 2020,en,,"rt @lotusoak2: #vaccine herd immunity is a myth!
https://t.co/iucrkl5h8v
#learntherisk #measles #outbreak #vaccines",retweeted_tweet_without_comment,34,8186,false,"[vaccine, learntherisk, measles, outbreak, vaccines]",[],fri nov 08 15:59:33 +0000 2013,[424664120],['lotusoak2'],424664120.0
12104,1227414876869447680,856731098360852480,sueher8,wed feb 12 02:11:25 +0000 2020,en,"san diego, ca","if and when they come up with a coronavirus vaccine, will the antivaxxers take it or leave it?  #antivaxxers  #coronavirus",quoted_tweet,273,15638,false,"[antivaxxers, coronavirus]",[],tue apr 25 04:46:25 +0000 2017,[],[],
36978,1227420550550687744,261274640,joltdude,wed feb 12 02:33:58 +0000 2020,en,united states,"rt @andreaadlerphd: dear #antivaxx, don't waste this perfect opportunity. now is the time to go to #wuhan #china and prove #science wrong.…",retweeted_tweet_without_comment,3115,26161,false,"[antivaxx, wuhan, china, science]",[],sat mar 05 16:30:32 +0000 2011,[1139523989993328640],['andreaadlerphd'],1.1395239899933286e+18
38390,1227420868709683203,424664120,lotusoak2,wed feb 12 02:35:14 +0000 2020,en,"nova, usa","rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,20699,11135,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",wed nov 30 01:40:51 +0000 2011,[424664120],['lotusoak2'],424664120.0
51156,1227423930517880832,1108052325212418048,cindisabol,wed feb 12 02:47:24 +0000 2020,en,"california, usa","rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,1045,14770,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",tue mar 19 17:07:15 +0000 2019,[424664120],['lotusoak2'],424664120.0
19180,1227462599018733568,619382837,nicegoingadam,wed feb 12 05:21:03 +0000 2020,en,"cupertino, ca","rt @andreaadlerphd: dear #antivaxx, don't waste this perfect opportunity. now is the time to go to #wuhan #china and prove #science wrong.…",retweeted_tweet_without_comment,489,257,false,"[antivaxx, wuhan, china, science]",[],tue jun 26 20:09:56 +0000 2012,[1139523989993328640],['andreaadlerphd'],1.1395239899933286e+18
