tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_screen,rt_userid,rt_rt_count,rt_fav_count,rt_tweetid
1274288091868643330,59457935,buildsomething7,sat jun 20 10:28:50 +0000 2020,en,,rt @elenochle: who's in line in tulsa? post photos or videos below please retweet!  @realdonaldtrump  #trumprally  #trumprallytulsa #qanon,retweeted_tweet_without_comment,659,28395,false,"[trumprally, trumprallytulsa, qanon]",[],thu jul 23 13:17:55 +0000 2009,"[942618447443144709, 25073877]","['elenochle', 'realdonaldtrump']",elenochle,9.426184474431447e+17,138,306,1.2742175871785288e+18
1274288132129775617,792808845919879168,lis_alouu,sat jun 20 10:29:00 +0000 2020,en,maryland bluestatehostage md05,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,10650,74538,false,[qanon],[],sun oct 30 19:22:13 +0000 2016,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1039,1406,1.2741046460518113e+18
1274288180225732608,1001155612682563586,sig87055785,sat jun 20 10:29:11 +0000 2020,en,"anchorage, ak",rt @2020qanon: thieves looting tvs from moving train captured in wild video https://t.co/kx15rlnkp8 #qanons #maga #wwg1wga @realdonaldtrump,retweeted_tweet_without_comment,30,18374,false,"[qanons, maga, wwg1wga]","[{'url': 'https://t.co/kx15rlnkp8', 'expanded_url': 'https://nypost.com/2020/06/03/thieves-looting-tvs-from-moving-train-captured-on-wild-video/#qanon', 'display_url': 'nypost.com/2020/06/03/thi…', 'indices': [76, 99]}]",mon may 28 17:37:53 +0000 2018,"[1200124597871562754, 25073877]","['2020qanon', 'realdonaldtrump']",2020qanon,1.2001245978715628e+18,1,2,1.274223437926609e+18
1274288250123890688,474539790,egonenglish,sat jun 20 10:29:28 +0000 2020,en,pine gap,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,1535,3364,false,[qanon],[],thu jan 26 03:04:27 +0000 2012,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1040,1407,1.2741046460518113e+18
1274288266477309954,1001155612682563586,sig87055785,sat jun 20 10:29:32 +0000 2020,en,"anchorage, ak",rt @2020qanon: man forced to leave behind drowned parents after boating tragedy https://t.co/itcrv2kpxf #qanons #maga #wwg1wga @realdonaldt…,retweeted_tweet_without_comment,30,18374,false,"[qanons, maga, wwg1wga]","[{'url': 'https://t.co/itcrv2kpxf', 'expanded_url': 'https://nypost.com/2020/06/19/man-had-to-leave-behind-drowned-parents-after-boating-tragedy/#qanon', 'display_url': 'nypost.com/2020/06/19/man…', 'indices': [80, 103]}]",mon may 28 17:37:53 +0000 2018,[1200124597871562754],['2020qanon'],2020qanon,1.2001245978715628e+18,3,1,1.2742221331331686e+18
1274288527036035072,1266485592306651143,rae41452820,sat jun 20 10:30:34 +0000 2020,en,,rt @sgtjayhix8: please give me a follow on here! let’s start connecting now before it’s too late. please rt #wwg1wga #q #qanons #qanon #sco…,retweeted_tweet_without_comment,350,2636,false,"[wwg1wga, q, qanons, qanon]",[],fri may 29 21:44:40 +0000 2020,[1198919030704410630],['sgtjayhix8'],sgtjayhix8,1.1989190307044106e+18,1,1,1.2742879273848381e+18
1274288538536808448,454935602,lhartwyk,sat jun 20 10:30:37 +0000 2020,en,,rt @17thankq: happy @realdonaldtrump rally day!!! #trumpheads #qanon #wwg1wga #savethechildren https://t.co/xxp6gjaoum,retweeted_tweet_without_comment,308,12021,false,"[trumpheads, qanon, wwg1wga, savethechildren]",[],wed jan 04 15:11:35 +0000 2012,"[1249163180066181121, 25073877]","['17thankq', 'realdonaldtrump']",17thankq,1.249163180066181e+18,2,6,1.274283526888788e+18
1274288661912313857,943880943554744320,s_a_patriot,sat jun 20 10:31:06 +0000 2020,en,,"#qanon #maga #theawakening #takebackcontrol #factsmatter #sheepnomore #msaga @realdonaldtrump  #qanonsouthafrica  china is eyeing high-tech ‘surprise pearl harbor’ attack on us electric grid… using ‘stolen’ american technology, report claims   https://t.co/ykwkuxu06t",original,3817,2421,false,"[qanon, maga, theawakening, takebackcontrol, factsmatter, sheepnomore, msaga, qanonsouthafrica]","[{'url': 'https://t.co/ykwkuxu06t', 'expanded_url': 'https://www.rt.com/news/492414-china-space-stirke-us-grid/', 'display_url': 'rt.com/news/492414-ch…', 'indices': [244, 267]}]",thu dec 21 16:28:48 +0000 2017,[25073877],['realdonaldtrump'],,,0,0,
1274288973532344320,739163012016246785,deinzerheinrich,sat jun 20 10:32:21 +0000 2020,und,berlin,rt @qlobalchange: @realdonaldtrump #greatawakening #obamagate #wwg1wga #x22report #qanon #x22 #q https://t.co/m7lxlsb95s,quoted_tweet,64,15783,false,"[greatawakening, obamagate, wwg1wga, x22report, qanon, x22, q]","[{'url': 'https://t.co/m7lxlsb95s', 'expanded_url': 'https://twitter.com/realtrumpforce/status/1274079020389457924', 'display_url': 'twitter.com/realtrumpforce…', 'indices': [97, 120]}]",sat jun 04 18:32:50 +0000 2016,"[1026960638126501889, 25073877]","['qlobalchange', 'realdonaldtrump']",,,3,12,1.2742365547356897e+18
1274289040184037377,883296552177074176,slamphear4,sat jun 20 10:32:36 +0000 2020,en,,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,222,22567,false,[qanon],[],fri jul 07 12:08:03 +0000 2017,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1041,1410,1.2741046460518113e+18
1274289058311741440,1243567128726376448,ashleyrobb4,sat jun 20 10:32:41 +0000 2020,en,"indiana, usa","speaking of indiana, @realdonaldtrump you need to have a rally close so i can come! i would love to see that atmosphere and be included with a another great president in our history!  #trump2020   #trump2020landslide  #wwg1wga #qanons #qarmy",quoted_tweet,176,550,false,"[trump2020, trump2020landslide, wwg1wga, qanons, qarmy]",[],fri mar 27 15:54:52 +0000 2020,[25073877],['realdonaldtrump'],,,0,0,
1274289194504826880,1262342334366146561,pfejkkdxos6tdyo,sat jun 20 10:33:13 +0000 2020,ja,,rt @ototoi_kiyagare: fワード連発の下劣極まりない「平和的な抗議デモ隊」のチンピラを@realdonaldtrump サポーターの黒人男性が冷静に制止👍 #qanon #qajflynn @okabaeri9111 #qmapjapan #wwg1wga…,retweeted_tweet_without_comment,8,1027,false,"[qanon, qajflynn, qmapjapan, wwg1wga]",[],mon may 18 11:20:55 +0000 2020,"[102304238, 25073877, 1086230647100792832]","['ototoi_kiyagare', 'realdonaldtrump', 'okabaeri9111']",ototoi_kiyagare,102304238.0,23,24,1.2742684726675907e+18
